date,game visitor,chief,crew1,crew2
1127,New Orleans,David Guthrie,Ben Taylor,Jonathan Sterling
1128,Golden State,Kevin Scott,Brian Forte,Gediminas Petraitis
1128,Milwaukee,Sean Wright,Scott Wall,Robert Hussey
1128,Boston,Scott Foster,Michael Smith,Dannica Mosher
1128,Sacramento,Tre Maddox,Brent Barnaky,Lauren Holtkamp
1128,Detroit,Zach Zarba,Derek Richardson,Andy Nagy
1129,Orlando,Curtis Blair,Nick Buchert,Matt Boland
1129,Denver,Pat Fraher,Kevin Cutler,Aaron Smith
1129,Charlotte,Tony Brothers,Jacyn Goble,Suyash Mehta
1129,Oklahoma City,John Goble,Mitchell Ervin,Tyler Ricks
1129,Indiana,Eric Lewis,J.T. Orr,Jonathan Sterling
1129,Cleveland,Tyler Ford,Brent Barnaky,Marat Kogut
1129,Washington,Courtney Kirkland,Derrick Collins,Brett Nansel
1129,Portland,Josh Tiven,Karl Lane,John Butler
1129,New Orleans,Zach Zarba,Leon Wood,Bennie Adams
1130,New York,Scott Foster,Mark Lindsay,Jason Goldenberg
1130,Memphis,Rodney Mott,Tom Washington,John Conley
1130,Golden State,Josh Tiven,Karl Lane,Derek Richardson
1130,Detroit,Kevin Scott,Gediminas Petraitis,Justin Van Duyne
1130,L.A. Lakers,Bill Kennedy,Brian Forte,Mousa Dagher
1201,Atlanta,Tony Brothers,Brent Barnaky,Dannica Mosher
1201,Denver,James Williams,Dedric Taylor,Suyash Mehta
1201,Minnesota,Sean Wright,Lauren Holtkamp,Brandon Adair
1201,Philadelphia,Kane Fitzgerald,JB DeRosa,Aaron Smith
1201,Cleveland,David Guthrie,Sean Corbin,Jonathan Sterling
1201,Charlotte,James Capers,Natalie Sago,Brett Nansel
1201,Dallas,Marc Davis,J.T. Orr,Andy Nagy
1201,Houston,Zach Zarba,Mitchell Ervin,CJ Washington
1201,Sacramento,Courtney Kirkland,Derrick Collins,Robert Hussey
1202,Chicago,Ben Taylor,Tyler Ford,Natalie Sago
1202,Milwaukee,Pat Fraher,Curtis Blair,Cheryl Flores
1202,Oklahoma City,Josh Tiven,Karl Lane,Evan Scott
1202,Detroit,Eric Lewis,Michael Smith,Matt Myers
1202,San Antonio,Tre Maddox,Brian Forte,Phenizee Ransom
1203,Miami,James Williams,JB DeRosa,Brett Nansel
1203,Cleveland,John Goble,Matt Boland,CJ Washington
1203,Philadelphia,David Guthrie,Tyler Ford,Mousa Dagher
1203,Minnesota,Kane Fitzgerald,Dedric Taylor,Nick Buchert
1203,Orlando,Sean Wright,Mark Lindsay,Marat Kogut
1203,New Orleans,Tony Brothers,Jacyn Goble,Brandon Adair
1203,Boston,Courtney Kirkland,Derrick Collins,Leon Wood
1203,Phoenix,Bill Kennedy,J.T. Orr,Bennie Adams
1203,LA Clippers,Eric Lewis,Kevin Cutler,Justin Van Duyne
1204,Denver,Tom Washington,Brent Barnaky,Andy Nagy
1204,Chicago,Marc Davis,Mitchell Ervin,Gediminas Petraitis
1204,Miami,Kevin Scott,Tre Maddox,Derek Richardson
1204,Memphis,Sean Wright,Mark Lindsay,Suyash Mehta
1204,San Antonio,James Capers,Sean Corbin,Robert Hussey
1204,Boston,Rodney Mott,Kevin Cutler,Matt Myers
1204,LA Clippers,Scott Foster,Michael Smith,Phenizee Ransom
1205,Utah,Pat Fraher,Curtis Blair,Matt Kallio
1205,Charlotte,Zach Zarba,Brian Forte,Aaron Smith
1205,Washington,Kane Fitzgerald,Tyler Ford,Mousa Dagher
1205,New Orleans,Eric Lewis,Derrick Collins,Jenna Reneau
1206,Philadelphia,Josh Tiven,Jacyn Goble,Brandon Adair
1206,Oklahoma City,Courtney Kirkland,JB DeRosa,John Conley
1206,Washington,David Guthrie,Mitchell Ervin,Derek Richardson
1206,Memphis,Bill Kennedy,Brian Forte,Jenna Schroeder
1206,Denver,Sean Wright,Kevin Cutler,Nick Buchert
1206,Cleveland,Mark Lindsay,Lauren Holtkamp,Jason Goldenberg
1206,Atlanta,Kevin Scott,Tre Maddox,Phenizee Ransom
1206,San Antonio,James Williams,Justin Van Duyne,Suyash Mehta
1206,Orlando,Rodney Mott,Michael Smith,Tyler Ricks
1206,LA Clippers,Ben Taylor,Sean Corbin,John Butler
1207,Brooklyn,Zach Zarba,Tom Washington,Aaron Smith
1207,New York,Eric Lewis,Derrick Collins,JD Ralls
1207,Boston,Scott Foster,Curtis Blair,J.T. Orr
1208,Philadelphia,Bill Kennedy,Karl Lane,Derek Richardson
1208,Chicago,Courtney Kirkland,Nick Buchert,Jonathan Sterling
1208,Washington,James Williams,Jacyn Goble,Cheryl Flores
1208,New York,Marc Davis,JB DeRosa,Brandon Adair
1208,Milwaukee,Kane Fitzgerald,Dedric Taylor,Mitchell Ervin
1208,Oklahoma City,David Guthrie,Mark Lindsay,CJ Washington
1208,Brooklyn,Josh Tiven,Tyler Ford,Brandon Schwab
1208,Dallas,John Goble,Sean Corbin,Matt Boland
1208,Utah,Kevin Cutler,Gediminas Petraitis,Phenizee Ransom
1208,Denver,Zach Zarba,Brian Forte,Lauren Holtkamp
1208,Portland,Scott Foster,Curtis Blair,Justin Van Duyne
1208,Orlando,Ben Taylor,J.T. Orr,Suyash Mehta
1208,Boston,Tre Maddox,Michael Smith,Andy Nagy
1209,Utah,Rodney Mott,Brent Barnaky,Leon Wood
1209,L.A. Lakers,Pat Fraher,Tom Washington,Bennie Adams
1209,Denver,Kevin Scott,Tyler Ford,Mousa Dagher
1210,Sacramento,Sean Wright,Dedric Taylor,John Butler
1210,Dallas,Eric Lewis,Nick Buchert,Matt Kallio
1210,Brooklyn,James Williams,Ben Taylor,Lauren Holtkamp
1210,New York,Courtney Kirkland,Karl Lane,Jonathan Sterling
1210,Milwaukee,Zach Zarba,Matt Boland,Matt Myers
1210,Cleveland,David Guthrie,Aaron Smith,Derek Richardson
1210,Detroit,Bill Kennedy,Curtis Blair,CJ Washington
1210,L.A. Lakers,John Goble,Sean Corbin,Ray Acosta
1210,Boston,James Capers,Kevin Cutler,Natalie Sago
1211,Orlando,Tyler Ford,Jacyn Goble,Danielle Scott
1211,Utah,Scott Foster,Nick Buchert,Justin Van Duyne
1211,Sacramento,Eric Lewis,Mark Lindsay,Bennie Adams
1211,Chicago,Rodney Mott,Derrick Collins,John Conley
1211,Houston,Tony Brothers,J.T. Orr,Suyash Mehta
1211,Golden State,David Guthrie,Ed Malloy,Marat Kogut
1211,Denver,Kane Fitzgerald,Tom Washington,Jenna Schroeder
1212,Milwaukee,Josh Tiven,Brian Forte,Brett Nansel
1212,Brooklyn,Kevin Scott,Karl Lane,Ray Acosta
1212,Dallas,Bill Kennedy,Natalie Sago,John Butler
1212,New Orleans,Pat Fraher,Dedric Taylor,Mitchell Ervin
1212,Minnesota,Tyler Ford,Jacyn Goble,Scott Twardoski
1212,Orlando,Sean Wright,Brent Barnaky,Matt Boland
1213,Miami,Josh Tiven,Marat Kogut,CJ Washington
1213,Golden State,Courtney Kirkland,Michael Smith,Jenna Reneau
1213,Sacramento,John Goble,Leon Wood,Lauren Holtkamp
1213,Houston,Rodney Mott,Derrick Collins,Evan Scott
1213,Milwaukee,Kevin Scott,Curtis Blair,J.T. Orr
1213,Philadelphia,Eric Lewis,Mark Lindsay,Andy Nagy
1213,Charlotte,Pat Fraher,Mitchell Ervin,Mousa Dagher
1213,Washington,Tony Brothers,Eric Dalen,Dannica Mosher
1213,Phoenix,Kane Fitzgerald,Brent Barnaky,Bennie Adams
1214,Toronto,Ed Malloy,J.T. Orr,Brett Nansel
1214,Golden State,Zach Zarba,Sean Corbin,Ray Acosta
